,Arizona,,,,,
,AZADT,3005 N Dysart Rd,Avondale,AZ,85392,
,AZCCR,1970 E Ray Rd,Chandler,AZ,85225,
,AZCGO,4185 S Gilbert Rd,Chandler,AZ,85249,
,AZCRR,4949 W Ray Rd,Chandller,AZ,85226,
,AZG51,20255 N 59th Ave,Glendale,AZ,85308,
,AZG5O,5070 W Olive Ave,Glendale,AZ,85302,
,AZG5T,5860 W Thunderbird Rd,Glendale,AZ,85306,
,AZG8C,5070 N 83rd Ave,Glendale,AZ,85305,
,AZGHP,3300 S Higley Rd,Gilbert,AZ,85297,
,AZGPG,7540 S Power Rd,Gilbert,AZ,85297,
,AZGPM,15277 W McDowell Rd,Goodyear,AZ,85395,
,AZGVP,3025 S Val Vista Dr,Gilbert,AZ,85295,
,AZMA6,1661 S Alma School Rd,Mesa,AZ,85210,
,AZMG6,1728 S Greenfield Rd,Mesa,AZ,85206,
,AZMGB,2156 E Baseline Rd,Gilbert,AZ,85204,
,AZMGM,1954 E McKellips Rd,Mesa,AZ,85203,
,AZP1B,1812 W Baseline Rd,Phoenix,AZ,85041,
,AZP7E,7400 W Encanto Blvd,Phoenix,AZ,85035,
,AZP8T,8440 W Thunderbird Rd,Peoria,AZ,85381,
,AZPCC,12211 N Cave Creek Rd,Phoenix,AZ,85022,
,AZPCO,"1 E Washington St, Ste 250",Phoenix,AZ,85004,
,AZPCW,10160 W Lake Pleasant Pkwy,Peoria,AZ,85382,
,AZPLD,"7000 E Mayo Blvd, Bldg 13",Phoenix,AZ,85054,
,AZPS1,12869 N Tatum Blvd,Phoenix,AZ,85032,
,AZPTC,20722 E Riggs Rd,Queen Creek,AZ,85142,
,AZQER,16750 W Bell Rd,Surprise,AZ,85374,
,AZS3B,13644 N Litchfield Rd,Surprise,AZ,85379,
,AZSLW,14843 N Northsight Blvd,Scottsdale,AZ,85260,
,AZSNR,1727 W Ranch Rd,Tempe,AZ,85284,
,AZT1W,"1840 E Warner Rd, Ste 111",Tempe,AZ,85284,
,AZTMW,3110 N Central Ave (Park Central),Phoenix,AZ,85012,
,AZG4G,4355 W Glendale Ave,Glendale,AZ,85301,
,AZL5B,5910 W Baseline Rd,Laveen,AZ,85339,
